S.No.,Organization Code,Organization Name,Organization Type,Parent Organization Code,Parent Organization Name,Parent Organization Type,State Code,State Name
43.0,1060,WOMEN EMPOWERMENT & CHILD DEVELOPMENT,Department,,,,5,UTTARAKHAND
44.0,105,SIRD,Organization,464,Department of Panchayati Raj and RD,Department,5,UTTARAKHAND
1.0,1011,Agriculture Department,Department,,,,9,UTTAR PRADESH
2.0,1012,Animal Husbandry Department,Department,,,,9,UTTAR PRADESH
3.0,1016,Bal Vikas and Pushtahar Department,Department,,,,9,UTTAR PRADESH
4.0,1017,Bank,Department,,,,9,UTTAR PRADESH
5.0,1007,Basic Eductaion,Department,,,,9,UTTAR PRADESH
6.0,2126,"Chief Audit Officer, Co-operative Socities & Panchayats",Department,,,,9,UTTAR PRADESH
7.0,2127,"Chief Audit Officer, Co-operative Socities & Panchayats UP",Department,,,,9,UTTAR PRADESH
8.0,2196,Cooparative and Panchayat Audit Organisation U.P.,Department,,,,9,UTTAR PRADESH
9.0,794,Department of Backward Class Welfare,Department,,,,9,UTTAR PRADESH
10.0,1009,Department of Energy,Department,,,,9,UTTAR PRADESH
11.0,1005,Department of Handicapt Welfare,Department,,,,9,UTTAR PRADESH
12.0,1019,Department of Information Technology & Electronics,Department,,,,9,UTTAR PRADESH
13.0,1332,Department of Irrigation & Water Resources,Department,,,,9,UTTAR PRADESH
14.0,1331,Department of Land Development & water Resource,Department,,,,9,UTTAR PRADESH
15.0,1018,Department of Land Resources,Department,,,,9,UTTAR PRADESH
16.0,1010,Department of Medical Health & Family Welfare,Department,,,,9,UTTAR PRADESH
17.0,1004,Department of Minority Welfare,Department,,,,9,UTTAR PRADESH
18.0,466,Department of Panchayati Raj and RD,Department,,,,9,UTTAR PRADESH
19.0,1006,Department of Rural Development,Department,,,,9,UTTAR PRADESH
20.0,1008,Department of Secondary Education,Department,,,,9,UTTAR PRADESH
21.0,1002,Department of Social Welfare,Department,,,,9,UTTAR PRADESH
22.0,1003,Department of Woman and Child Development,Department,,,,9,UTTAR PRADESH
23.0,1208,Department of Women Welfare,Department,,,,9,UTTAR PRADESH
24.0,140,DoPR,Department,,,,9,UTTAR PRADESH
25.0,921,Election Commission,Department,,,,9,UTTAR PRADESH
26.0,1013,Food and civil Supply Department,Department,,,,9,UTTAR PRADESH
27.0,1015,Public works Department,Department,,,,9,UTTAR PRADESH
28.0,920,Revenue Department,Department,,,,9,UTTAR PRADESH
29.0,1014,Rural Engineering Department,Department,,,,9,UTTAR PRADESH
30.0,11,Test Department,Department,,,,9,UTTAR PRADESH
31.0,919,Urban Development Department,Department,,,,9,UTTAR PRADESH
32.0,1021,Uttar Pradesh Jal Nigam,Department,,,,9,UTTAR PRADESH
33.0,2224,Uttar Pradesh Sainik Punarvas Nidhi,Department,,,,9,UTTAR PRADESH
34.0,1020,Vocational Education & Skill Development,Department,,,,9,UTTAR PRADESH
35.0,108,SIRD,Organization,466,Department of Panchayati Raj and RD,Department,9,UTTAR PRADESH
1.0,359,Agriculture Department,Department,,,,19,WEST BENGAL
2.0,377,Agriculture Marketing,Department,,,,19,WEST BENGAL
3.0,362,Animal Resource Development,Department,,,,19,WEST BENGAL
4.0,363,Backward Class Welfare,Department,,,,19,WEST BENGAL
5.0,375,Commerce and Industries,Department,,,,19,WEST BENGAL
6.0,366,Cottage and Small Scale Industries,Department,,,,19,WEST BENGAL
7.0,2157,Department of Civil Administration,Department,,,,19,WEST BENGAL
8.0,2209,Department of Disaster Management & Civil Defence,Department,,,,19,WEST BENGAL
9.0,2156,DEPARTMENT OF FIRE AND EMERGENCY SERVICES,Department,,,,19,WEST BENGAL
10.0,227,Department of Forest,Department,,,,19,WEST BENGAL
11.0,386,DEPARTMENT OF HOME AND HILL AFFAIRS,Department,,,,19,WEST BENGAL
12.0,1390,Department of Information Technology,Department,,,,19,WEST BENGAL
13.0,1419,Department of Labour,Department,,,,19,WEST BENGAL
14.0,1422,Department of Labour Govt of WB,Department,,,,19,WEST BENGAL
15.0,100,DEPARTMENT OF LAND AND LAND REFORMS & REFUGEE RELIEF AND REHABILITATION,Department,,,,19,WEST BENGAL
16.0,96,Department of Relief Rehabilitation,Department,,,,19,WEST BENGAL
17.0,922,Department of Urban Development & Municipal Affairs,Department,,,,19,WEST BENGAL
18.0,94,Department of Women Child Development and Social Welfare,Department,,,,19,WEST BENGAL
19.0,388,Development and Planning,Department,,,,19,WEST BENGAL
20.0,95,Development Planning Department,Department,,,,19,WEST BENGAL
21.0,380,Disaster Management,Department,,,,19,WEST BENGAL
22.0,923,Election Commission,Department,,,,19,WEST BENGAL
23.0,2132,Examiner of Local Accounts (Comptroller and Auditor General of India),Department,,,,19,WEST BENGAL
24.0,367,Fisheries Department,Department,,,,19,WEST BENGAL
25.0,365,Food and Supplies,Department,,,,19,WEST BENGAL
26.0,382,Food Processing Industries,Department,,,,19,WEST BENGAL
27.0,368,Fruit Processing and Horticulture,Department,,,,19,WEST BENGAL
28.0,369,Health and Family Welfare,Department,,,,19,WEST BENGAL
29.0,370,Irrigation and Waterways,Department,,,,19,WEST BENGAL
30.0,383,Library Education,Department,,,,19,WEST BENGAL
31.0,361,Mass Education,Department,,,,19,WEST BENGAL
32.0,99,Mass Education Extension,Department,,,,19,WEST BENGAL
33.0,378,North Bengal Development,Department,,,,19,WEST BENGAL
34.0,93,Panchayats and Rural Development Department,Department,,,,19,WEST BENGAL
35.0,389,Paschimanchal Development,Department,,,,19,WEST BENGAL
36.0,139,PASCHIMANCHAL UNNAYAN AFFAIRS,Department,,,,19,WEST BENGAL
37.0,376,Power,Department,,,,19,WEST BENGAL
38.0,374,Public Health Engineering,Department,,,,19,WEST BENGAL
39.0,371,Public Works Department,Department,,,,19,WEST BENGAL
40.0,372,Public Works(Roads) Department,Department,,,,19,WEST BENGAL
41.0,2520,sa(klk),Department,,,,19,WEST BENGAL
42.0,98,School Education,Department,,,,19,WEST BENGAL
43.0,360,School Education Department,Department,,,,19,WEST BENGAL
44.0,385,Science and Technology,Department,,,,19,WEST BENGAL
45.0,387,Self Help Group,Department,,,,19,WEST BENGAL
46.0,390,Sunderban Development,Department,,,,19,WEST BENGAL
47.0,384,Technical Education,Department,,,,19,WEST BENGAL
48.0,21,Test Department,Department,,,,19,WEST BENGAL
49.0,381,Transport,Department,,,,19,WEST BENGAL
50.0,379,Water Resource Investigation and Development,Department,,,,19,WEST BENGAL
51.0,1391,West Bengal Electronics Industry Development Corporation Limited,Department,,,,19,WEST BENGAL
52.0,2155,West Bengal State Electricity Distribution Corporation,Department,,,,19,WEST BENGAL
53.0,373,Women and Child Development and Social Welfare,Department,,,,19,WEST BENGAL
54.0,364,xxLand,Department,,,,19,WEST BENGAL
55.0,2475,Calcutta Electric Supply Corporation,Organization,,,Department,19,WEST BENGAL
56.0,2492,DIRECTORATE OF ELECTRICITY,Organization,376,Power,Department,19,WEST BENGAL
57.0,2515,Kolkata Police Directorate,Organization,386,DEPARTMENT OF HOME AND HILL AFFAIRS,Department,19,WEST BENGAL
58.0,1394,Nabadinganta Industrial Township Authority,Organization,922,Department of Urban Development & Municipal Affairs,Department,19,WEST BENGAL
59.0,1395,New Town Kolkata Development,Organization,922,Department of Urban Development & Municipal Affairs,Department,19,WEST BENGAL
60.0,138,SIRD,Organization,93,Panchayats and Rural Development Department,Department,19,WEST BENGAL
61.0,2531,WB Police Directorate,Organization,386,DEPARTMENT OF HOME AND HILL AFFAIRS,Department,19,WEST BENGAL
